"優しい","やさしい","adj-i","tender","kind, gentle, graceful, affectionate, amiable, suave",
"凄い","すごい","adj-i","terrible","dreadful, amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific, to a great extent, vast (in numbers)",
"厳しい","きびしい","adj-i","severe","strict, rigid, unsparing, relentless, stern, austere, grave, solemn, majestic, intense (cold)",
"可笑しい","おかしい","adj-i","funny","amusing, comical, laughable, ridiculous, strange, odd, funny, peculiar, weird, unusual, eccentric, improper, unsuitable, unbecoming, suspicious",
"嬉しい","うれしい","adj-i","happy","glad, pleasant",
"宜しい","よろしい","adj-i","(hon) good","OK, all right, fine, very well, will do, may, can",
"寂しい, 淋しい","さびしい, さみしい","adj-i","lonely","lonesome, solitary, desolate",
"恥ずかしい","はずかしい","adj-i","shy","ashamed, embarrassed",
"悲しい, 哀しい","かなしい","adj-i","sad","sorrowful",
"柔らかい, 軟らかい, 柔かい","やわらかい","adj-i","soft","tender, limp",
"正しい","ただしい","adj-i","right","just, correct, righteous, honest, truthful, proper, straightforward, perfect",
"浅い","あさい","adj-i","shallow","superficial",
"深い","ふかい","adj-i","deep","profound, thick, close (friendship)",
"珍しい, 珍らしい","めずらしい","adj-i","unusual","rare, curious, new, novel, fine (e.g. gift)",
"眠い, 睡い","ねむい","adj-i","sleepy","drowsy, somnolent",
"硬い, 固い, 堅い, 緊い","かたい","adj-i","hard","solid, tough, stiff, tight, wooden, unpolished (e.g. writing), strong, firm (not viscous or easily moved), safe, steady, honest, steadfast, obstinate, stubborn, bookish, formal, stuffy",
"素晴らしい, 素晴しい","すばらしい, すんばらしい","adj-i","wonderful","splendid, magnificent",
"細かい","こまかい","adj-i","small","fine, minute, minor, trivial, sensitive, attentive",
"美しい","うつくしい","adj-i","beautiful","lovely",
"美味い","うまい","adj-i","skillful","clever, expert, wise, successful, delicious, appetizing, appetising, fortunate, splendid, promising",
"苦い","にがい","adj-i","bitter",,
"ひどい","ひどい","adj-i","cruel","awful, severe, very bad, serious, terrible, heavy, violent",
"怖い, 恐い","こわい","adj-i, int","scary","frightening, eerie, dreadful, (I'm) afraid",
"盛ん","さかん","adj-na","popular","prosperous, enthusiastic, energetic, vigorous",
"複雑","ふくざつ","adj-na","complex","complicated",
"久しぶり, 久し振り","ひさしぶり","adj-na, adj-no","a long time (since the last time)","it's been a while (since I last saw, mailed, etc., you)",
"しっかり","しっかり","adj-na, adv, adv-to, n, vs","firmly","tightly, reliable, level-headed, steady",
"特別","とくべつ","adj-na, adv, n, adj-no","special",,
"一杯","いっぱい","adj-na, adv, n, adj-no, adv, adj-no, adj-na, n-suf, n-adv","full","amount necessary to fill a container (e.g. a cupful, spoonful, etc.),a drink (i.e. an alcoholic beverage), one squid, octopus, crab, etc., one boat, fully, to capacity, a lot, much, all of ..., the entire ...",
"大抵","たいてい","adj-na, adv, n, adj-no, n, adj-na","mostly","ordinarily, usually, generally, probably, most, almost all, (before a neg. form) ordinary, proper, appropriate, moderate",
"丁寧","ていねい","adj-na, n","polite","courteous, careful, care, kind, close, thorough, conscientious",
"不便","ふべん","adj-na, n","inconvenience","inexpediency, unhandiness",
"大事","だいじ","adj-na, n","important","valuable, serious matter",
"安全","あんぜん","adj-na, n","safety","security",
"必要","ひつよう","adj-na, n","necessary","needed, essential, indispensable, necessity, need, requirement",
"急","きゅう","adj-na, n","urgent","sudden, abrupt, sharp, steep, precipitous, rapid, swift, fast, emergency, crisis, hurrying, haste",
"楽しみ","たのしみ","adj-na, n","enjoyment","pleasure, diversion, amusement, hobby, anticipation, looking forward to",
"残念","ざんねん","adj-na, n","bad luck","deplorable, regret, disappointment",
"熱心","ねっしん","adj-na, n","zeal","enthusiasm",
"真面目","まじめ","adj-na, n","diligent","serious, honest, sober, grave, earnest, steady",
"簡単","かんたん","adj-na, n","simple","easy, brief, uncomplicated",
"親切","しんせつ","adj-na, n","kindness","gentleness",
"適当","てきとう","adj-na, n","suitable","proper, appropriate, adequate, fit",
"駄目","だめ, ダメ","adj-na, n","no good","not serving its purpose, useless, broken, hopeless, wasted, in vain, purposeless, cannot, must not, not allowed",
"一生懸命","いっしょうけんめい","adj-na, n-adv, n","very hard","with utmost effort, with all one's might, for dear life",
"味","あじ","adj-na, n, adj-na","flavor","flavour, taste, charm, style, experience",
"格好, 恰好","かっこう, カッコ","adj-na, n, adj-no","shape","form, posture, appearance, manner, suitability, moderateness (in price)",
"変","へん","adj-na, n, n-pref","strange","odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy, unexpected, change, incident, disturbance, disaster, accident, flat (music)",
"安心","あんしん","adj-na, n, vs","relief","peace of mind",
"無理","むり","adj-na, n, vs","unreasonable","impossible, overdoing",
"遠慮","えんりょ","adj-na, n, vs","diffidence","restraint, reserve, discretion, tact, thoughtfulness",
"邪魔","じゃま","adj-na, n, vs","hindrance","intrusion",
"反対","はんたい","adj-na, n, vs, adj-no","opposition","resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa",
"十分, 充分","じゅうぶん","adj-na, n, vs, adv","plenty","enough, sufficient, satisfactory, adequate, division into ten, perfectly, thoroughly, fully, in full",
"心配","しんぱい","adj-na, n, vs, n, vs","worry","concern, anxiety, care, help, aid, assistance",
"あんな","あんな","adj-na,adj-pn","such","like that",
"そんな","そんな","adj-na,adj-pn,adv,n","such","like that,that sort of",
"オーバー","オーバー","adj-na,n,vs","overcoat",,
"別","べつ","adj-no, adj-na, n, n-suf","distinction","difference, different, another, particular, separate, extra, exception",
"普通","ふつう","adj-no, adv","general","ordinary, usual, normally, generally, usually, train that stops at every station",
"遠く","とおく","adj-no, n-adv, n","far away","distant, at a distance, distant place, by far",
"昔","むかし","adj-no, n-adv, n-t","olden days","former",
"最初","さいしょ","adj-no, n-adv, n-t","beginning","outset, first, onset",
"最近","さいきん","adj-no, n-adv, n-t","most recent","these days, right now, recently, nowadays",
"中中, 中々","なかなか","adv","very","considerably, easily, readily, fairly, quite, highly, rather, by no means (with negative verb)",
"例えば","たとえば","adv","for example","e.g.",
"先ず","まず","adv","first (of all)","to start with, about, almost, anyway, well, now, hardly (with neg. verb)",
"全然","ぜんぜん","adv","not at all (with neg. verb)","wholly, entirely, completely",
"其れ程, それ程","それほど","adv","to that degree (usu. Kana only)","extent",
"到頭","とうとう","adv","finally","at last, (literally) reaching a head",
"勿論","もちろん","adv","of course","certainly, naturally",
"大分","だいぶ, だいぶん","adv","considerably","greatly, a lot",
"必ず","かならず","adv","certainly","always,without exception, necessarily, without fail, positively, invariably",
"成るべく, 成る可く","なるべく","adv","as much as possible","wherever practicable",
"最も","もっとも","adv","most","extremely",
"決して","けっして, けして","adv","never","by no means (always uses negative verb), decidedly, indisputably",
"特に","とくに","adv","particularly","especially",
"若し","もし","adv","if","in case, supposing",
"非常に","ひじょうに","adv","very","extremely, exceedingly",
"すっかり","すっかり","adv","all","completely,thoroughly",
"そう","そう","adv","really",,
