I drank tea with my friends after having lunch.,昼ごはんの後で友達とお茶を飲みました。,N4,after; later,hirugohan o ato de tomodachi to ocha o nomimashita.,あとで
I slept for 1 hour after taking the medicine.,薬を飲んだ後で、一時間ほど寝ました。,N4,after; later,"kusuri o nonda ato de, ichijikan hodo nemashita.",あとで
Won’t you go to the movies with me after class’s over?,今度授業の後で映画に行かない？,N4,after; later,kondo jugyou no ato de eiga ni ikanai.,あとで
Let’s start working after listening to the explanation.,説明を聞いた後で、作業を始めましょう。,N4,after; later,"setsumei o kiita ato de, sagyou o hajimemashou.",あとで
We collected the garbage after the party was over.,パーティーが終わった後でゴミを集めました。,N4,after; later,paatii ga owatta ato de gomi o atsumemashita.,あとで
"“Why am I getting fatter?” after a moment of silence, she moaned.",「どうしてふとるのかしら」数分黙った後で、彼女がうめいた。,N4,after; later,"doushite futoru no kashira. suufun damatta ato de, kanojo ga umeita.",あとで
He winced at the sound of his father’s name.,彼が父親の名前だけでぎくりとした。,N4,just by; just by doing,kare ga chichioya no namae dake de gikuri to shita.,だけで
He’s standing on one leg.,彼は片足だけで立っている。,N4,just by; just by doing,kare wa kataashi dake de tatte iru.,だけで
Just one glance told me all I need to know.,一目見ただけで、俺に必要なことはすべてわかった。,N4,just by; just by doing,"hitome mita dake de, ore ni hitsuyou na koto wa subete wakatta.",だけで
I want to talk to you alone.,二人だけで少し話がしたい。,N4,just by; just by doing,futari dake de sukoshi hanashi ga shitai.,だけで
One quick look around told me that she wasn’t there.,見回しただけで、彼女の姿がないことがわかった。,N4,just by; just by doing,"mimawashita dake de, kanojo no sugata ga nai koto ga wakatta.",だけで
This is president Yamada.,こちらは社長の山田でございます。,N4,to be (the polite form of です),kochira wa shachou no yamada de gozaimasu.,でございます
Of course.,もちろんでございます。,N4,to be (the polite form of です),mochiron degozaimasu.,でございます
This place is more quiet than the last one.,こちらは前のところより静かでございます。,N4,to be (the polite form of です),kochira wa mae no tokoro yori shizuka degozaimasu.,でございます
That was a clue.,あれはヒントだったのでございます。,N4,to be (the polite form of です),are wa hinto datta no degozaimasu.,でございます
"Since we’re free, let’s play games or something.",暇だからゲームでもしましょう。,N4,…or something,hima dakara geemu demo shimashou.,でも
"Since we’re tired, let’s drink coffee or something.",疲れたから、コーヒーでも飲みましょう。,N4,…or something,"tsukareta kara, koohii demo nomimashou.",でも
What are we gonna do this consecutive holiday? Shall we go to the suburb or something?,連休はどうする？郊外へでも行ってみようか。,N4,…or something,renkyuu wa dou suru. kougai e demo itte miyou ka.,でも
"Since dinner won’t be ready for a little while, eat bread or something.",夕食までもう少し時間があるから、パンでも食べなさい。,N4,…or something,"yuushoku made mou sukoshi jikan ga aru kara, pan demo tabenasai.",でも
Shall we go drink tea or something together?,一緒にお茶でもいかがですか。,N4,…or something,issho ni ocha demo ikaga desu ka.,でも
You look like you were crying. Did something bad happen?,泣いたようですね。悪いことでもあったのですか。,N4,…or something,naita you desu ne. warui koto demo atta no desu ka.,でも
Please exercise frequently. It’d be troublesome if you got sick.,よく運動してください。病気にでもなったら困るですから。,N4,…or something,yoku undou shite kudasai. byouki demo nattara komaru desu kara.,でも
There’s a sound of piano coming from the house next door.,隣の家でピアノの音がしている。,N4,smell; hear; taste,tonari no ie de piano no oto ga shiteiru.,がする
Smells good.,いいにおいがする。,N4,smell; hear; taste,ii nioi ga suru.,がする
This pizza tastes weird.,このピザは変な味がします。,N4,smell; hear; taste,kono piza wa hen na aji ga shimasu.,がする
"If you push this button, the door will open.",このボタンを押せば、ドアが開きます。,N4,if… then (ば conditional),"kono botan o oseba, doa ga hirakimasu.",ば
"If you practice every day, you’ll get better.",毎日練習をすれば、上手になりますよ。,N4,if… then (ば conditional),"mainichi renshuu o sureba, jouzu ni narimasu yo.",ば
"You can pretend to be waiting for the teacher, you know.",先生を待ってるふりをすればいいじゃないか。,N4,if… then (ば conditional),sensei o matteru furi o sureba ii janai ka.,ば
You’ll still make it if you go now.,今すぐ出発すれば間に合うでしょう。,N4,if… then (ば conditional),ima sugu shuppatsu sureba maniau deshou.,ば
"If you go, I’ll go too.",あなたが行けば、わたしも行きます。,N4,if… then (ば conditional),"anata ga ikeba, watashi mo ikimasu.",ば
They’ll all forget this in a few weeks.,数週間もすれば、みんな忘れるよ。,N4,if… then (ば conditional),"suu shuukan mo sureba, minna wasureru yo.",ば
"If you go to that art gallery, you’ll be able to see Japanese old pictures.",あの美術館へ行けば、日本の古い絵を見ることができます。,N4,if… then (ば conditional),"ano bijutsukan e ikeba, nihon no furui e o miru koto ga dekimasu.",ば
This cake tastes best when served cold.,このケーキは冷たくなければ、おいしくありません。,N4,if… then (ば conditional),"kono keeki wa tsumetaku nakereba, oishiku arimasen.",ば
"If you cause any more trouble, you’ll be in trouble with the government.",これ以上事を起こせば、政府とまずいことになってしまうよ。,N4,if… then (ば conditional),"kore ijou koto o okoseba, seifu to mazui koto ni natte shimau yo.",ば
"I want to go to the Embassy of Italy, how do I get there?",イタリア大使館へ行きたいんですが、どう行けばいいですか。,N4,if… then (ば conditional),"itaria taishikan e ikitain desu ga, dou ikeba ii desu ka.",ば
I have no siblings.,わたしは兄弟がございません。,N4,"to be, to exist (the polite form of いる/ある)",watashi wa kyoudai ga gozaimasen.,ございます
The necktie counter is on the fourth floor.,ネクタイ売り場は４階にございます。,N4,"to be, to exist (the polite form of いる/ある)",nekutai uriba wa 4kai ni gozaimasu.,ございます
Please come this way. I’ve already taken your things up.,どうぞこちらへ。お荷物の方は、もうお部屋に上げてございます。,N4,"to be, to exist (the polite form of いる/ある)","douzo kochira e. onimotsu no hou wa, mou oheya ni agete gozaimasu.",ございます
"There’s still time, so please eat slowly.",まだ時間がございますので、どうぞごゆっくりお召し上がりください。,N4,"to be, to exist (the polite form of いる/ある)","mada jikan ga gozaimasu node, douzo go yukkuri omeshiagari kudasai.",ございます
The application form is over there.,あちらに申込書がございます。,N4,"to be, to exist (the polite form of いる/ある)",achira ni moushikomisho ga gozaimasu.,ございます
"If there’s anything you need, please don’t hesitate to ask.",何かご用がございましたら、どうぞいつでもご遠慮なく。,N4,"to be, to exist (the polite form of いる/ある)","nanika goyou ga gozaimashitara, douzo itsudemo goenryo naku.",ございます
Your luggage is over here.,お荷物はこちらにございます。,N4,"to be, to exist (the polite form of いる/ある)",onimotsu wa kochira ni gozaimasu.,ございます
There’s no way an elementary school student can answer such a difficult question.,そんな難しい問題は小学生ができるはずがない。,N4,cannot be; it’s impossible that,sonna muzukashii mondai wa shougakusei ga dekiru hazu ga nai.,はずがない
That person’s been hospitalized so he can’t possibly go on the trip tomorrow.,あの人は入院しているので、明日の旅行に来るはずがない。,N4,cannot be; it’s impossible that,"ano hito wa nyuuin shite iru node, ashita no ryokou ni kuru hazu ga nai.",はずがない
That strong building can’t be broken.,あの頑丈な建物が壊れるはずがありません。,N4,cannot be; it’s impossible that,ano ganjou na tatemono ga kowareru hazu ga arimasen.,はずがない
Yamashita is very kind. He’d never do such a horrible thing.,やさしい山下さんがこんなひどいことをするはずがない。,N4,cannot be; it’s impossible that,yasashii yamashita san ga konna hidoi koto o suru hazu ga nai.,はずがない
Tanaka would never leave his sick son home alone.,田中さんが、病気の子供を一人で家においておくはずがない。,N4,cannot be; it’s impossible that,"tanaka san ga, byouki no kodomo o hitori de ie ni oite oku hazu ga nai.",はずがない
The Titanic was said to be unsinkable.,タイタニック号は「沈むはずがない」と言われた。,N4,cannot be; it’s impossible that,taitanikku gou wa shizumu hazu ga nai to iwareta.,はずがない
Everyone is downstairs. There’s no one in the room. There can’t be.,みんなは階下にいるのだ。部屋の中には、誰もいない。いるはずがない。,N4,cannot be; it’s impossible that,"minna wa kaika ni iru no da. heya no naka niwa, dare mo inai. iru hazu ga nai.",はずがない
"He can’t be here, now.",彼が今ここにいるはずがない。,N4,cannot be; it’s impossible that,kare ga ima koko ni iru hazu ga nai.,はずがない
She would never send me anything dangerous on purpose.,彼女がわざと危険なものを僕に送ってくるはずがない。,N4,cannot be; it’s impossible that,kanojo ga waza to kiken na mono o boku ni okutte kuru hazu ga nai.,はずがない
He’s not going to die. He can’t.,彼は死ぬもんか。死ぬはずがない。,N4,cannot be; it’s impossible that,kare wa shinu mon ka. shinu hazu ga nai.,はずがない
I don’t like chiken very much.,鶏肉はあまり好きじゃないです。,N4,not very; not much,toriniku wa amari suki janai desu.,あまり～ない
I didn’t expect much.,わたしはあまり期待していなかった。,N4,not very; not much,watashi wa amari kitai shite inakatta.,あまり～ない
You shouldn’t drink too much alcohol.,あまりたくさんお酒を飲まないほうがいいですよ。,N4,not very; not much,amari takusan osake o nomanai hou ga ii desu yo.,あまり～ない
I’m also not very good at chess.,僕もチェスはあまり上手じゃない。,N4,not very; not much,boku mo chesu wa amari jouzu janai.,あまり～ない
I don’t feel very sleepy.,あまり眠くないです。,N4,not very; not much,amari nemukunai desu.,あまり～ない
I didn’t study much so my grades got worse.,あまり勉強しなかったので、成績が悪くなった。,N4,not very; not much,"amari benkyou shinakatta node, seiseki ga warukunatta.",あまり～ない
Why would he need to do something like that?,なんで彼がそんなことをする必要があるんだ？,N4,"need, it is necessary to",nande kare ga sonna koto o suru hitsuyou ga arun da.,ひつようがある
She needs to understand.,彼女に納得させる必要がある。,N4,"need, it is necessary to",kanojo ni nattoku saseru hitsugyou ga aru.,ひつようがある
You need to regain your memory.,記憶を取り戻す必要があるよ。,N4,"need, it is necessary to",kioku o torimodosu hitsuyou ga aru yo.,ひつようがある
I’m fine. You don’t need to do anything.,僕、大丈夫です。なんにもする必要がありません。,N4,"need, it is necessary to","boku, daijoubu desu. nannimo suru hitsuyou ga arimasen.",ひつようがある
We need to train our new player.,新人選手を教育する必要がある。,N4,"need, it is necessary to",shinjin senshu o kyouiku suru hitsuyou ga aru.,ひつようがある
I need to know what happened.,何が起こったのか、わたしは知る必要がある。,N4,"need, it is necessary to","nani ga okotta no ka, watashi wa shiru hitsuyou ga aru.",ひつようがある
I need to go to the library.,図書館に行く必要があります。,N4,"need, it is necessary to",toshokan ni iku hitsuyou ga arimasu.,ひつようがある
I won’t need it anymore.,僕にはもう必要がないだろう。,N4,"need, it is necessary to",boku niwa mou hitsuyou ga nai darou.,ひつようがある
I don’t intend to tell Naruto more than he needs to know.,わたしは、ナルトが知る必要があること以外に、この子に話してやるつもりはないよ。,N4,"need, it is necessary to","watashi wa, naruto ga shiru hitsuyou ga aru koto igai ni, kono ko ni hanashite yaru tsumori wa nai yo.",ひつようがある
I’ll do this job.,この仕事はわたしがいたします。,N4,to do (the polite form of する),kono shigoto wa watashi ga itashimasu.,いたす
I’ll take you to your seat.,お席にご案内いたします。,N4,to do (the polite form of する),oseki ni goannai itashimasu.,いたす
I’ll send the luggages next Monday.,荷物はわたしが来週の月曜日にお届けいたします。,N4,to do (the polite form of する),nimotsu wa watashi ga raishuu no getsuyoubi ni otodoke itashimasu.,いたす
I’ll wait for teacher Kimura here until 6 o’clock.,わたしは木村先生を６時までここでお待ちいたします。,N4,to do (the polite form of する),watashi wa kimura sensei o rokuji made koko de omachi itashimasu.,いたす
Please find enclosed a list of all necessary equipment.,必要な教材のリストを同封いたします。,N4,to do (the polite form of する),hitsuyou na kyouzai no risuto o doufuu itashimasu.,いたす
I’d like to inform you that the new school year will begin on September the 5th.,新学期は九月五日に始まることをお知らせいたします。,N4,to do (the polite form of する),shingakki wa kugatsu itsuka ni hajimaru koto o oshirase itashimasu.,いたす
I’ll book the airplane tickets.,飛行機の予約はわたしがいたします。,N4,to do (the polite form of する),hikouki no yoyaku wa watashi ga itashimasu.,いたす
Here’s your change of 3000 yen out of 5000 yen.,５千円からお預かりいたします。３千円のおつりでございます。,N4,to do (the polite form of する),gosen’en kara oazukari itashimasu. sanzen’en no otsuri de gozaimasu.,いたす
Excuse me.,失礼いたします。,N4,to do (the polite form of する),shitsurei itashimasu.,いたす
